run_id,profile,model,case,scenario,attack_label,seed,temperature,t_a,t_b,horizon_s,stopped_reason,recovery_success,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T094854Z__minimax-m2__kundur_a1__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,0,0.0,2.0,4.0,15.0,max_steps+autorolled,False,9.777000000000001,True,voltage,2.0001,0.110499210567099,-2.7742608314058124e-11,44.94316046320906,34.972363123603984,15,18500,5016,140.77000920000137,
20260419T095117Z__minimax-m2__kundur_a1__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,1,0.0,2.0,4.0,15.0,max_steps+autorolled,False,0.0,True,voltage,2.0001,0.11051007179603056,-4.4216688009869484e-11,44.94326863248622,34.97266913813783,15,16453,2563,75.90077349999774,
20260419T095233Z__minimax-m2__kundur_a1__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,2,0.0,2.0,4.0,15.0,horizon_reached,False,3.1500000000000004,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,9,17252,2761,79.61234250000052,
20260419T095354Z__minimax-m2__kundur_a2__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,0,0.0,2.0,4.0,15.0,horizon_reached,True,0.5795,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,7,10132,3109,40.34558879999895,
20260419T095435Z__minimax-m2__kundur_a2__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,1,0.0,2.0,4.0,15.0,horizon_reached,True,0.7988000000000001,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,10,23424,3162,42.11381480000273,
20260419T095518Z__minimax-m2__kundur_a2__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,2,0.0,2.0,4.0,15.0,horizon_reached,True,9.985,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,9,23173,2384,34.950685600000725,
20260419T095553Z__minimax-m2__ieee39_a1__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,0,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.334269766862912,1.0755385766189225,8,11240,3230,89.14971839999998,
20260419T095724Z__minimax-m2__ieee39_a1__s1,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,1,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.12839658792083153,1.0755385766189225,12,9343,2206,58.1764179999991,
20260419T095823Z__minimax-m2__ieee39_a1__s2,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.9940000000000001,False,,,0.00025230768133588377,0.9988675915659938,0.12839658792083142,1.0755385766189225,34,18885,4403,122.27285910000137,
20260419T100026Z__minimax-m2__ieee39_a2__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,0,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,6.737399999999999,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,14,18599,2092,55.198959400000604,
