run_id,profile,model,case,scenario,truth_label,predicted_label,correct,confidence,seed,temperature,t_a,t_b,stopped_reason,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,rationale,error
20260419T105853Z__minimax-m2__kundur_a1__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,A1,True,0.96,0,0.0,2.0,5.0,no_tool_call,4,16290,1006,26.13652980000188,"Divergent ROCOF signs: Gens 1-2 decelerating (-0.45 Hz/s) while Gens 3-4 accelerate (+2.83 Hz/s), forming two coherent groups. Delta drift shows 14 rad vs 92 rad split confirming rotor-angle separatio",
20260419T105921Z__minimax-m2__kundur_a1__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,A1,True,0.96,1,0.0,2.0,5.0,no_tool_call,4,10485,968,24.728585799999564,Divergent ROCOF: gens 1-2 decelerate (-0.45 Hz/s) while gens 3-4 accelerate (+2.8 Hz/s). Massive angle spread 78 rad between groups; gens 3-4 drifted 92 rad vs 14 rad for gens 1-2. Severe voltage sag ,
20260419T105946Z__minimax-m2__kundur_a1__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,A1,True,0.95,2,0.0,2.0,5.0,no_tool_call,4,15398,709,17.818716100002348,Divergent-sign ROCOF: gens1-2 negative vs gens3-4 positive. Massive delta spread 78 rad between groups with group 3-4 drifting 92 rad vs 14 rad for group1-2. Voltage sag on buses 1-2-7. Classic A1 cas,
20260419T110005Z__minimax-m2__kundur_a1_mild__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,A1,True,0.91,0,0.0,2.0,5.0,no_tool_call,4,8720,954,24.49694439999803,"Divergent ROCOF signs (Gen1/2 +0.03/+0.01 vs Gen3/4 -0.25/-0.25 Hz/s) indicate two generator groups splitting. Angle spread 0.32 rad confirms rotor-angle separation; voltage sags on buses 3,4,7,9 are ",
20260419T110030Z__minimax-m2__kundur_a1_mild__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,A1,True,0.65,1,0.0,2.0,5.0,no_tool_call,4,6269,1047,28.478319400001055,"Mixed-sign ROCOF (gens 1-2 pos, 3-4 neg) plus voltage dip on bus 7 indicate islanding/separation; angle spread 0.32 rad consistent with cascade separation.",
20260419T110100Z__minimax-m2__kundur_a1_mild__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,A1,True,0.87,2,0.0,2.0,5.0,no_tool_call,4,10396,794,22.384279399997467,"Divergent ROCOF signs (gens 1-2 positive, 3-4 negative) confirm generator group separation. Angle spread 0.32 rad with 5.7 rad drift matches A1 cascade signature.",
20260419T110123Z__minimax-m2__kundur_a2__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,A1,False,0.82,0,0.0,2.0,5.0,no_tool_call,4,15290,1045,28.077683200001047,Coherent positive ROCOF spike (0.64 Hz/s) indicates supply loss; massive delta drift (~4.78 rad) shows generators separating into two groups; voltage sag at buses 7/9 confirms post-fault dip; A1 casca,
20260419T110152Z__minimax-m2__kundur_a2__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,A1,False,0.94,1,0.0,2.0,5.0,no_tool_call,4,10411,1061,30.600653799996508,"Divergent ROCOF signs split gens into two groups, large sustained angle spread, asymmetric voltage dips on buses 7/9.",
20260419T110223Z__minimax-m2__kundur_a2__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a2,A2,A2,True,0.82,2,0.0,2.0,5.0,no_tool_call,4,15428,1591,43.70084549999956,"All four PMU-covered gens show coherent negative ROCOF (same sign, -0.05 to -0.14 Hz/s) during 2-5s, moderate voltage sag on all buses, small bounded angle spread (0.36 rad), and increasing delta drif",
20260419T110308Z__minimax-m2__ieee39_a1__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,A2,False,0.87,0,0.0,2.0,5.0,no_tool_call,9,15745,3462,100.8656630000005,"Coherent voltage sag on all 20 PMU buses starting at t=2.0s, uniform depth 0.15-0.8%, symmetric onset and recovery — classic MadIoT load-step signature.",
20260419T110450Z__minimax-m2__ieee39_a1__s1,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,A1,True,0.55,1,0.0,2.0,5.0,no_tool_call,4,20790,1342,38.471501799998805,Voltage sags ~0.5-0.8% at buses 16-18 and 25-26 with near-flat V at other buses; attack onset t~2s; omega/delta missing prevented angle/ROCOF confirmation.,
20260419T110529Z__minimax-m2__ieee39_a1__s2,minimax-m2,MiniMax M2.7,ieee39,ieee39_a1,A1,,False,,2,0.0,2.0,5.0,no_tool_call,5,21205,3185,91.09101309999824,,
