run_id,red_profile,blue_profile,case,red_mode,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T125943Z__minimax-m2__minimax-m2__kundur__s0,minimax-m2,minimax-m2,kundur,scripted,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,0.0,True,voltage,2.0001,0.15870372623240803,-1.617765929623738e-13,3.473569234872457,81.40339786118196,2,5,11,0,0,10783,2323,16509,1944,27292,4267,116.32103029999416,
20260419T130142Z__minimax-m2__minimax-m2__kundur__s1,minimax-m2,minimax-m2,kundur,scripted,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,,False,False,red-win,0.0,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,6,11,0,0,20262,3031,18396,2737,38658,5768,183.42385350000404,
20260419T130447Z__minimax-m2__minimax-m2__kundur__s2,minimax-m2,minimax-m2,kundur,scripted,2,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,2.8975,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,4,10,0,0,16374,1375,31107,2499,47481,3874,72.41830280001159,
20260419T130601Z__minimax-m2__minimax-m2__kundur__s3,minimax-m2,minimax-m2,kundur,scripted,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,,False,False,red-win,3.477,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,4,11,0,0,16144,3400,12443,2301,28587,5701,167.83913659999962,
20260419T130851Z__minimax-m2__minimax-m2__kundur__s4,minimax-m2,minimax-m2,kundur,scripted,4,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,2.734,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,4,9,0,0,1890,2095,23159,1761,25049,3856,125.14731040000333,
20260419T131058Z__minimax-m2__deepseek-chat__kundur__s0,minimax-m2,deepseek-chat,kundur,scripted,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,0.0,True,voltage,2.0001,1.0668289589104067,0.48720094106791906,1150.7898554633066,6054.778706174954,2,6,11,0,0,46262,852,68549,1090,114811,1942,84.20138679999945,
20260419T131224Z__minimax-m2__deepseek-chat__kundur__s1,minimax-m2,deepseek-chat,kundur,scripted,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,8.202,True,voltage,2.0001,1.0668289589101154,0.487200941067917,1150.7898554629764,6054.778706175549,2,6,11,0,0,46260,948,89771,1058,136031,2006,86.43435280000995,
20260419T131353Z__minimax-m2__deepseek-chat__kundur__s2,minimax-m2,deepseek-chat,kundur,scripted,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,8.202,True,voltage,2.0001,1.0668289589063868,0.48720094106791684,1150.78985545878,6054.7787061393965,2,6,11,0,0,46260,968,90001,1149,136261,2117,95.28401029999077,
20260419T131530Z__minimax-m2__deepseek-chat__kundur__s3,minimax-m2,deepseek-chat,kundur,scripted,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,2.318,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,6,11,0,0,46242,905,89751,1054,135993,1959,86.76878029999352,
20260419T131659Z__minimax-m2__deepseek-chat__kundur__s4,minimax-m2,deepseek-chat,kundur,scripted,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,8.202,True,voltage,2.0001,1.0668289589101154,0.487200941067917,1150.7898554629764,6054.778706175549,2,6,11,0,0,46264,949,90619,1191,136883,2140,89.6406124999994,
20260419T131831Z__minimax-m2__qwen3-plus__kundur__s0,minimax-m2,qwen3-plus,kundur,scripted,0,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,6.627000000000001,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,5,8,0,0,17855,218,90707,1717,108562,1935,54.83170599999721,
20260419T131927Z__minimax-m2__qwen3-plus__kundur__s1,minimax-m2,qwen3-plus,kundur,scripted,1,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,3.477,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,5,9,0,0,17855,218,135252,1194,153107,1412,45.36192769999616,
20260419T132014Z__minimax-m2__qwen3-plus__kundur__s2,minimax-m2,qwen3-plus,kundur,scripted,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,0.0,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,5,11,0,0,17855,218,91093,1082,108948,1300,37.443130299994664,
20260419T132054Z__minimax-m2__qwen3-plus__kundur__s3,minimax-m2,qwen3-plus,kundur,scripted,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,3.477,True,voltage,2.0001,0.15870372623240803,-1.617765929623738e-13,3.473569234872457,81.40339786118196,2,5,11,0,0,17855,218,90672,953,108527,1171,36.798431100003654,
20260419T132132Z__minimax-m2__qwen3-plus__kundur__s4,minimax-m2,qwen3-plus,kundur,scripted,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,3.477,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,2,5,11,0,0,17855,218,106502,972,124357,1190,42.02409440000338,
