run_id,red_profile,blue_profile,case,red_mode,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T132217Z__minimax-m2__minimax-m2__kundur__s0,minimax-m2,minimax-m2,kundur,llm,0,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,0.0,True,voltage,2.0001,1.0668292245034698,0.4872009410679058,1150.7901537732387,6054.780607169544,6,6,9,2104,1526,31343,1678,31045,2960,64492,6164,144.81557629999588,
20260419T132444Z__minimax-m2__minimax-m2__kundur__s1,minimax-m2,minimax-m2,kundur,llm,1,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,2.734,True,delta,2.933333333333332,0.0017786363904894742,0.9127775870600454,1.9720706784389321,0.33240454373023454,7,0,8,606,481,795,2267,30562,1524,31963,4272,98.57534979999764,
20260419T132624Z__minimax-m2__minimax-m2__kundur__s2,minimax-m2,minimax-m2,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,15.155999999999999,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,7,6,11,630,486,29662,1391,19188,1737,49480,3614,102.48243360000924,
20260419T132809Z__minimax-m2__minimax-m2__kundur__s3,minimax-m2,minimax-m2,kundur,llm,3,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,5.468,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,4,8,571,436,16267,1849,33397,2697,50235,4982,146.4454454999941,
20260419T133037Z__minimax-m2__minimax-m2__kundur__s4,minimax-m2,minimax-m2,kundur,llm,4,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,6,6,348,753,19686,2419,19124,1689,39158,4861,138.73412959998677,
20260419T133258Z__minimax-m2__deepseek-chat__kundur__s0,minimax-m2,deepseek-chat,kundur,llm,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,2.318,True,delta,2.9334333333333302,0.001778636390344035,0.9127775870637915,1.9720706782046982,0.3324045436746026,7,6,11,568,400,45847,1064,93230,1240,139645,2704,104.77049149999948,
20260419T133445Z__minimax-m2__deepseek-chat__kundur__s1,minimax-m2,deepseek-chat,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,4.636,True,delta,2.9334333333333302,0.0017786363909491065,0.9127775870578148,1.9720706782997013,0.3324045437986989,7,6,11,811,658,46250,988,68167,1134,115228,2780,112.75875649999216,
20260419T133640Z__minimax-m2__deepseek-chat__kundur__s2,minimax-m2,deepseek-chat,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,2.318,True,delta,2.9334333333333302,0.001778636390324273,0.9127775870640108,1.9720706781952622,0.33240454367055605,7,6,11,14,1171,45794,934,89200,1179,135008,3284,114.57849869999336,
20260419T133837Z__minimax-m2__deepseek-chat__kundur__s3,minimax-m2,deepseek-chat,kundur,llm,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,2.318,True,delta,2.9334333333333302,0.001778636390324273,0.9127775870640108,1.9720706781952622,0.33240454367055605,7,6,11,606,458,45794,965,88840,1016,135240,2439,105.07962060000136,
20260419T134025Z__minimax-m2__deepseek-chat__kundur__s4,minimax-m2,deepseek-chat,kundur,llm,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,6.954,True,delta,2.866766666666664,0.002158727649704817,0.9103698271241039,2.4305330575873256,0.4962011739036676,7,6,11,690,858,45827,1053,88981,1125,135498,3036,133.11470810000174,
