run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T154351Z__minimax-m2__deepseek-chat__ieee39__s0,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154354Z__minimax-m2__deepseek-chat__ieee39__s1,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154357Z__minimax-m2__deepseek-chat__ieee39__s2,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154400Z__minimax-m2__deepseek-chat__ieee39__s3,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154403Z__minimax-m2__deepseek-chat__ieee39__s4,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154406Z__minimax-m2__deepseek-chat__ieee39__s0,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154409Z__minimax-m2__deepseek-chat__ieee39__s1,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154412Z__minimax-m2__deepseek-chat__ieee39__s2,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154415Z__minimax-m2__deepseek-chat__ieee39__s3,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154418Z__minimax-m2__deepseek-chat__ieee39__s4,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154421Z__minimax-m2__deepseek-chat__ieee39__s0,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b29_100ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154425Z__minimax-m2__deepseek-chat__ieee39__s1,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b29_100ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T154431Z__minimax-m2__deepseek-chat__ieee39__s2,minimax-m2,deepseek-chat,ieee39,none,baseline,primary_ieee39_bf_b29_100ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
