run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T160657Z__scripted-null__scripted-null__ieee39__s0,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160700Z__scripted-null__scripted-null__ieee39__s1,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160702Z__scripted-null__scripted-null__ieee39__s2,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160703Z__scripted-null__scripted-null__ieee39__s3,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160705Z__scripted-null__scripted-null__ieee39__s4,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160707Z__scripted-null__scripted-null__ieee39__s0,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160709Z__scripted-null__scripted-null__ieee39__s1,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160711Z__scripted-null__scripted-null__ieee39__s2,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160712Z__scripted-null__scripted-null__ieee39__s3,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160714Z__scripted-null__scripted-null__ieee39__s4,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160716Z__scripted-null__scripted-null__ieee39__s0,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b29_100ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160718Z__scripted-null__scripted-null__ieee39__s1,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b29_100ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160720Z__scripted-null__scripted-null__ieee39__s2,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b29_100ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160722Z__scripted-null__scripted-null__ieee39__s3,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b29_100ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160723Z__scripted-null__scripted-null__ieee39__s4,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b29_100ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T160725Z__scripted-null__scripted-null__ieee39__s0,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b02_60ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,4.872904782682319e-05,1.0003041224350984,0.0,1.0547577113454867,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160728Z__scripted-null__scripted-null__ieee39__s1,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b02_60ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,4.872904782682319e-05,1.0003041224350984,0.0,1.0547577113454867,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160731Z__scripted-null__scripted-null__ieee39__s2,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b02_60ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,4.872904782682319e-05,1.0003041224350984,0.0,1.0547577113454867,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160734Z__scripted-null__scripted-null__ieee39__s3,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b02_60ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,4.872904782682319e-05,1.0003041224350984,0.0,1.0547577113454867,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160737Z__scripted-null__scripted-null__ieee39__s4,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_bf_b02_60ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,4.872904782682319e-05,1.0003041224350984,0.0,1.0547577113454867,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160740Z__scripted-null__scripted-null__ieee39__s0,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_load_step_pq08_plus25,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160743Z__scripted-null__scripted-null__ieee39__s1,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_load_step_pq08_plus25,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160746Z__scripted-null__scripted-null__ieee39__s2,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_load_step_pq08_plus25,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160748Z__scripted-null__scripted-null__ieee39__s3,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_load_step_pq08_plus25,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
20260419T160751Z__scripted-null__scripted-null__ieee39__s4,scripted-null,scripted-null,ieee39,none,piggyback,primary_ieee39_load_step_pq08_plus25,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.0333,0.0,1.0018570383987089,0.0,1.0459950475221669,1,0,1,0,0,0,0,0,0,0,0,0.0,nonconverge at t=5.033 during mit_phase
