run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T030544Z__deepseek-chat__deepseek-chat__ieee39__s5,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,5,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36180,603,0,0,0,0,36180,603,24.95273220000672,nonconverge at t=4.033 during red_phase
20260420T030611Z__deepseek-chat__deepseek-chat__ieee39__s6,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,57046,616,0,0,0,0,57046,616,25.28135169998859,nonconverge at t=4.033 during red_phase
20260420T030637Z__deepseek-chat__deepseek-chat__ieee39__s7,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,7,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,38273,744,72512,804,116422,1121,227207,2669,108.97134450000885,
20260420T030828Z__deepseek-chat__deepseek-chat__ieee39__s8,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,8,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,38187,696,0,0,0,0,38187,696,27.303502499999013,nonconverge at t=4.033 during red_phase
20260420T030856Z__deepseek-chat__deepseek-chat__ieee39__s9,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,9,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,38447,886,0,0,0,0,38447,886,32.19419639999978,nonconverge at t=4.033 during red_phase
20260420T030929Z__deepseek-chat__qwen3-plus__ieee39__s5,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,5,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,56952,443,0,0,0,0,56952,443,21.829744700007723,nonconverge at t=3.033 during red_phase
20260420T030951Z__deepseek-chat__qwen3-plus__ieee39__s6,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36926,831,0,0,0,0,36926,831,31.72328630000993,nonconverge at t=4.033 during red_phase
20260420T031024Z__deepseek-chat__qwen3-plus__ieee39__s7,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,7,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,37353,728,0,0,0,0,37353,728,30.839330499991775,nonconverge at t=3.033 during red_phase
20260420T031056Z__deepseek-chat__qwen3-plus__ieee39__s8,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,8,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.5333,0.0,1.0,0.0,0.0,7,0,0,38061,651,0,0,0,0,38061,651,26.052863100005197,nonconverge at t=4.533 during red_phase
20260420T031122Z__deepseek-chat__qwen3-plus__ieee39__s9,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,9,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,57046,436,0,0,0,0,57046,436,22.472919000007096,nonconverge at t=3.033 during red_phase
20260420T031146Z__deepseek-chat__minimax-m2__ieee39__s5,deepseek-chat,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,5,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,37114,743,0,0,0,0,37114,743,31.60531890000857,nonconverge at t=3.033 during red_phase
20260420T031218Z__deepseek-chat__minimax-m2__ieee39__s6,deepseek-chat,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,38268,726,0,0,0,0,38268,726,27.560822300001746,nonconverge at t=4.033 during red_phase
20260420T031246Z__deepseek-chat__minimax-m2__ieee39__s7,deepseek-chat,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,7,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36679,760,0,0,0,0,36679,760,29.028076600006898,nonconverge at t=4.033 during red_phase
20260420T031316Z__deepseek-chat__minimax-m2__ieee39__s8,deepseek-chat,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,8,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36272,830,0,0,0,0,36272,830,31.53130499999679,nonconverge at t=4.033 during red_phase
20260420T031349Z__deepseek-chat__minimax-m2__ieee39__s9,deepseek-chat,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,9,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37660,797,0,0,0,0,37660,797,30.42647570000554,nonconverge at t=4.033 during red_phase
20260420T031420Z__deepseek-chat__deepseek-chat__ieee39__s5,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,5,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,38364,829,0,0,0,0,38364,829,30.0316407999926,nonconverge at t=4.033 during red_phase
20260420T031451Z__deepseek-chat__deepseek-chat__ieee39__s6,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36674,772,0,0,0,0,36674,772,28.657274699988193,nonconverge at t=4.033 during red_phase
20260420T031520Z__deepseek-chat__deepseek-chat__ieee39__s7,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,7,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37953,726,0,0,0,0,37953,726,29.230915299995104,nonconverge at t=4.033 during red_phase
20260420T031550Z__deepseek-chat__deepseek-chat__ieee39__s8,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,8,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,36506,716,72338,554,117084,1172,225928,2442,102.52224910000223,
20260420T031735Z__deepseek-chat__deepseek-chat__ieee39__s9,deepseek-chat,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,9,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36685,809,0,0,0,0,36685,809,30.938589199999114,nonconverge at t=4.033 during red_phase
20260420T031806Z__deepseek-chat__qwen3-plus__ieee39__s5,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,5,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37437,859,0,0,0,0,37437,859,34.1081608000095,nonconverge at t=4.033 during red_phase
20260420T031841Z__deepseek-chat__qwen3-plus__ieee39__s6,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37273,727,0,0,0,0,37273,727,29.227816800004803,nonconverge at t=4.033 during red_phase
20260420T031911Z__deepseek-chat__qwen3-plus__ieee39__s7,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,7,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36564,526,0,0,0,0,36564,526,21.14574600000924,nonconverge at t=4.033 during red_phase
20260420T031933Z__deepseek-chat__qwen3-plus__ieee39__s8,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,8,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37268,718,0,0,0,0,37268,718,28.277177299998584,nonconverge at t=4.033 during red_phase
20260420T032002Z__deepseek-chat__qwen3-plus__ieee39__s9,deepseek-chat,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,9,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,36268,604,0,0,0,0,36268,604,25.97417580000183,nonconverge at t=4.033 during red_phase
