run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T034739Z__qwen3-plus__deepseek-chat__ieee39__s0,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,76670,499,72482,771,116902,1360,266054,2630,336.8818629000016,
20260420T035319Z__qwen3-plus__deepseek-chat__ieee39__s1,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,8,76697,563,72549,775,102720,1302,251966,2640,336.8725850000046,
20260420T035858Z__qwen3-plus__deepseek-chat__ieee39__s2,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,8,77136,731,61092,885,102649,1156,240877,2772,220.6346447999822,
20260420T040241Z__qwen3-plus__deepseek-chat__ieee39__s3,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,76960,567,72370,560,117044,1199,266374,2326,95.91661149999709,
20260420T040419Z__qwen3-plus__deepseek-chat__ieee39__s4,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,78793,573,72411,592,117121,1558,268325,2723,103.89089120000426,
20260420T040604Z__qwen3-plus__qwen3-plus__ieee39__s0,qwen3-plus,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,10,80678,834,21345,217,346604,1559,448627,2610,93.58577080001123,
20260420T040740Z__qwen3-plus__qwen3-plus__ieee39__s1,qwen3-plus,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,8,76729,539,21900,204,165128,1169,263757,1912,64.86515330000839,
20260420T040847Z__qwen3-plus__qwen3-plus__ieee39__s2,qwen3-plus,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.6749999999999999,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,7,76087,442,34144,209,136661,2101,246892,2752,89.01228120000451,
20260420T041018Z__qwen3-plus__qwen3-plus__ieee39__s3,qwen3-plus,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,4,79711,970,21345,221,100958,1903,202014,3094,87.93738299998222,
20260420T041148Z__qwen3-plus__qwen3-plus__ieee39__s4,qwen3-plus,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,9,79789,728,21345,217,200572,1338,301706,2283,80.48817299999064,
20260420T041311Z__qwen3-plus__minimax-m2__ieee39__s0,qwen3-plus,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,76393,406,21418,809,25217,1398,123028,2613,62.826494199980516,
20260420T041416Z__qwen3-plus__minimax-m2__ieee39__s1,qwen3-plus,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,6,76369,396,41201,1439,43052,1762,160622,3597,117.60803040002065,
20260420T041616Z__qwen3-plus__minimax-m2__ieee39__s2,qwen3-plus,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,7,77227,652,12696,819,43405,1319,133328,2790,105.80499219997728,
20260420T041803Z__qwen3-plus__minimax-m2__ieee39__s3,qwen3-plus,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,6,46687,547,11776,1285,42704,2432,101167,4264,135.4260629000055,
20260420T042021Z__qwen3-plus__minimax-m2__ieee39__s4,qwen3-plus,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,79726,839,21418,763,44795,1228,145939,2830,81.8586907999852,
20260420T042145Z__qwen3-plus__deepseek-chat__ieee39__s0,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,80277,784,84278,751,117024,1229,281579,2764,101.61593789998733,
20260420T042328Z__qwen3-plus__deepseek-chat__ieee39__s1,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,8,76947,718,72412,877,102848,1346,252207,2941,114.4080760999932,
20260420T042525Z__qwen3-plus__deepseek-chat__ieee39__s2,qwen3-plus,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098657911773785e-07,1.0018567910109477,0.00015837303927535018,1.0460013753162265,7,6,11,78187,315,72359,547,117334,1192,267880,2054,84.45834490000561,
