run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T034739Z__deepseek-chat__scripted-ufls__ieee39__s0,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,57046,436,0,0,0,0,57046,436,19.174733300009393,nonconverge at t=3.033 during red_phase
20260420T034800Z__deepseek-chat__scripted-ufls__ieee39__s1,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,37177,732,0,0,0,0,37177,732,26.46770780000952,nonconverge at t=3.033 during red_phase
20260420T034828Z__deepseek-chat__scripted-ufls__ieee39__s2,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,57046,435,0,0,0,0,57046,435,19.623672799993074,nonconverge at t=3.033 during red_phase
20260420T034848Z__deepseek-chat__scripted-ufls__ieee39__s3,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,56987,541,0,0,0,0,56987,541,20.195169200000237,nonconverge at t=4.033 during red_phase
20260420T034909Z__deepseek-chat__scripted-ufls__ieee39__s4,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,6.033333333333331,9.814095541571533e-05,0.9998102698726699,0.033086657256404445,1.0576165660923031,7,0,3,56987,485,0,0,0,0,56987,485,138.67799079998804,nonconverge at t=6.033 during mit_phase
20260420T035129Z__deepseek-chat__scripted-ufls__ieee39__s0,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,36727,685,0,0,0,0,36727,685,26.42749269999331,nonconverge at t=3.033 during red_phase
20260420T035156Z__deepseek-chat__scripted-ufls__ieee39__s1,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,6.033333333333331,9.814095541571533e-05,0.9998102698726699,0.033086657256404445,1.0576165660923031,7,0,3,56987,464,0,0,0,0,56987,464,19.269980299999588,nonconverge at t=6.033 during mit_phase
20260420T035217Z__deepseek-chat__scripted-ufls__ieee39__s2,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,3.0333,0.0,1.0,0.0,0.0,7,0,0,36678,662,0,0,0,0,36678,662,147.83461699998588,nonconverge at t=3.033 during red_phase
20260420T035446Z__deepseek-chat__scripted-ufls__ieee39__s3,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,6.033333333333331,9.814095541571533e-05,0.9998102698726699,0.033086657256404445,1.0576165660923031,7,0,3,36163,749,0,0,0,0,36163,749,27.35325489999377,nonconverge at t=6.033 during mit_phase
20260420T035514Z__deepseek-chat__scripted-ufls__ieee39__s4,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,4.0333,0.0,1.0,0.0,0.0,7,0,0,37122,637,0,0,0,0,37122,637,25.152329100004863,nonconverge at t=4.033 during red_phase
20260420T035540Z__deepseek-chat__scripted-ufls__ieee39__s0,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.533333333333331,0.00012084372597298554,0.9993161881178042,0.019186661822062898,1.060508661093409,7,0,2,36777,494,0,0,0,0,36777,494,21.2406375999999,nonconverge at t=5.533 during mit_phase
20260420T035603Z__deepseek-chat__scripted-ufls__ieee39__s1,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.533333333333331,0.00012084372597298554,0.9993161881178042,0.019186661822062898,1.060508661093409,7,0,2,37169,830,0,0,0,0,37169,830,150.69083940000564,nonconverge at t=5.533 during mit_phase
20260420T035834Z__deepseek-chat__scripted-ufls__ieee39__s2,deepseek-chat,scripted-ufls,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,5.533333333333331,0.00012084435825543416,0.9993161824376212,0.019186785204238513,1.0605086704562245,7,0,2,36429,603,0,0,0,0,36429,603,142.35441650000575,nonconverge at t=5.533 during mit_phase
