run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T044610Z__deepseek-chat__deepseek-chat__ieee39__s5,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b16_80ms,0.0,5,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098657978387166e-07,1.0018567910109644,0.00015837304066712576,1.0460013753170982,7,6,10,13464,386,73084,807,131849,1734,218397,2927,112.53059119998943,
20260420T044806Z__deepseek-chat__deepseek-chat__ieee39__s6,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b16_80ms,0.0,6,0.0,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.6000000000000001,True,nonconverge,10.0333,0.2493415512046575,0.9732329765330948,251.78922848854563,497.77770822535626,7,6,11,14341,621,84083,967,123654,1043,222078,2631,111.21764930001518,nonconverge at t=10.033 during mit_phase
20260420T044959Z__deepseek-chat__deepseek-chat__ieee39__s7,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b16_80ms,0.0,7,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,11,13465,387,73726,667,117494,913,204685,1967,79.75421840001945,
20260420T045122Z__deepseek-chat__deepseek-chat__ieee39__s8,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b16_80ms,0.0,8,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,11,13464,384,72365,557,122953,1073,208782,2014,89.45549900000333,
20260420T045254Z__deepseek-chat__deepseek-chat__ieee39__s9,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b16_80ms,0.0,9,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,13464,386,84186,913,116582,1242,214232,2541,105.40313039999455,
20260420T045441Z__deepseek-chat__deepseek-chat__ieee39__s5,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b22_80ms,0.0,5,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098657911773785e-07,1.0018567910109488,0.0001583730392640259,1.0460013753162238,7,6,11,13471,390,72439,596,118353,1146,204263,2132,85.51852990000043,
20260420T045609Z__deepseek-chat__deepseek-chat__ieee39__s6,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b22_80ms,0.0,6,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098657889569324e-07,1.0018567910109482,0.00015837303918608825,1.0460013753162276,7,5,11,13464,386,51128,844,117465,757,182057,1987,83.63864809999359,
20260420T045735Z__deepseek-chat__deepseek-chat__ieee39__s7,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b22_80ms,0.0,7,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,6,9,13465,387,72448,702,116547,976,202460,2065,84.45699669999885,
20260420T045901Z__deepseek-chat__deepseek-chat__ieee39__s8,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b22_80ms,0.0,8,0.0,2.0,5.0,30.0,tds_nonconverge,A1,A2,False,False,red-win,2.5676,True,nonconverge,10.0333,0.2493415512046575,0.9732329765330948,251.78922848854563,497.77770822535626,7,6,11,14330,613,72308,877,118521,1070,205159,2560,111.7057313999976,nonconverge at t=10.033 during mit_phase
20260420T050055Z__deepseek-chat__deepseek-chat__ieee39__s9,deepseek-chat,deepseek-chat,ieee39,llm,baseline,primary_ieee39_bf_b22_80ms,0.0,9,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098657978387166e-07,1.0018567910109644,0.00015837304066712576,1.0460013753170982,7,6,11,13464,384,62740,577,118472,973,194676,1934,87.74064889999863,
