run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T083246Z__scripted-null__scripted-null__kundur__s0,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b6_60ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083249Z__scripted-null__scripted-null__kundur__s1,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b6_60ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083250Z__scripted-null__scripted-null__kundur__s2,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b6_60ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083252Z__scripted-null__scripted-null__kundur__s3,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b6_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083254Z__scripted-null__scripted-null__kundur__s4,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b6_60ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083255Z__scripted-null__scripted-null__kundur__s0,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b8_60ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083257Z__scripted-null__scripted-null__kundur__s1,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b8_60ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083259Z__scripted-null__scripted-null__kundur__s2,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b8_60ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083300Z__scripted-null__scripted-null__kundur__s3,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b8_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083302Z__scripted-null__scripted-null__kundur__s4,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b8_60ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260420T083304Z__scripted-null__scripted-null__kundur__s0,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b9_80ms,0.0,0,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,0.667,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nonconverge at t=0.667 during red_phase
20260420T083304Z__scripted-null__scripted-null__kundur__s1,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b9_80ms,0.0,1,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,0.667,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nonconverge at t=0.667 during red_phase
20260420T083304Z__scripted-null__scripted-null__kundur__s2,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b9_80ms,0.0,2,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,0.667,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nonconverge at t=0.667 during red_phase
20260420T083304Z__scripted-null__scripted-null__kundur__s3,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b9_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,0.667,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nonconverge at t=0.667 during red_phase
20260420T083305Z__scripted-null__scripted-null__kundur__s4,scripted-null,scripted-null,kundur,none,piggyback,primary_kundur_bf_b9_80ms,0.0,4,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,0.667,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nonconverge at t=0.667 during red_phase
