run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T083423Z__deepseek-chat__deepseek-chat__kundur__s0,deepseek-chat,deepseek-chat,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132345058966,0.9125004161767568,1.9747286829711435,0.3382875332375548,7,6,9,32014,1046,48790,1009,101395,1194,182199,3249,172.2885105999885,
20260420T083718Z__deepseek-chat__deepseek-chat__kundur__s1,deepseek-chat,deepseek-chat,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132375201522,0.9125004161547625,1.9747286835721845,0.3382875338701723,7,6,11,45659,518,48753,912,94959,1235,189371,2665,145.83610300000873,
20260420T083946Z__deepseek-chat__deepseek-chat__kundur__s2,deepseek-chat,deepseek-chat,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132345054526,0.9125004161834691,1.9747286835467577,0.3382875332724531,7,6,10,45507,475,48757,918,112343,1323,206607,2716,157.22055689999252,
20260420T084225Z__deepseek-chat__deepseek-chat__kundur__s3,deepseek-chat,deepseek-chat,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,5.468,True,voltage,0.0011,0.0018094132323931422,0.9125004161960677,1.974728682795206,0.33828753282079305,7,6,10,31604,984,48386,947,111681,1131,191671,3062,159.78632350001135,
20260420T084507Z__deepseek-chat__deepseek-chat__kundur__s4,deepseek-chat,deepseek-chat,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,2.734,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,6,10,31376,907,48384,955,103434,1385,183194,3247,166.52392060001148,
20260420T084755Z__deepseek-chat__qwen3-plus__kundur__s0,deepseek-chat,qwen3-plus,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,3.477,True,voltage,0.0011,0.0018094132310106925,0.9125004162162382,1.974728683307152,0.33828753258496747,7,5,11,31346,735,17647,208,126949,1341,175942,2284,85.63674040001933,
20260420T084923Z__deepseek-chat__qwen3-plus__kundur__s1,deepseek-chat,qwen3-plus,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,6,11,31816,907,14827,258,124152,698,170795,1863,81.96469989999605,
20260420T085048Z__deepseek-chat__qwen3-plus__kundur__s2,deepseek-chat,qwen3-plus,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132310109146,0.912500416209524,1.974728682731378,0.3382875325500443,7,5,11,31470,680,17683,213,124498,826,173651,1719,71.47662010000204,
20260420T085202Z__deepseek-chat__qwen3-plus__kundur__s3,deepseek-chat,qwen3-plus,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,A1,False,True,lucky-recovery,2.318,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,6,8,31691,1043,14827,252,101066,1489,147584,2784,102.40617410000414,
20260420T085347Z__deepseek-chat__qwen3-plus__kundur__s4,deepseek-chat,qwen3-plus,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132310106925,0.9125004162162382,1.974728683307152,0.33828753258496747,7,5,11,31027,462,17647,209,221978,1068,270652,1739,71.03393230000802,
