run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T101617Z__deepseek-chat__minimax-m2__kundur__s0,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,5.468,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,4,8,45553,452,10538,1569,35850,1860,91941,3881,130.79967319998832,
20260420T101831Z__deepseek-chat__minimax-m2__kundur__s1,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,4.101,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,4,8,45379,432,6156,3369,14638,1718,66173,5519,184.5991318000015,
20260420T102138Z__deepseek-chat__minimax-m2__kundur__s2,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,1.367,True,voltage,0.0011,0.0018094132310109146,0.912500416209524,1.974728682731378,0.3382875325500443,7,4,8,31443,663,17368,3162,32753,2558,81564,6383,211.8386765999894,
20260420T102511Z__deepseek-chat__minimax-m2__kundur__s3,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,3.477,True,voltage,0.0011,0.0018094132310109146,0.912500416209524,1.974728682731378,0.3382875325500443,7,4,8,31346,634,17391,1882,35769,1452,84506,3968,125.35164970000915,
20260420T102718Z__deepseek-chat__minimax-m2__kundur__s4,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b6_60ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,8.5735,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,6,9,31865,1081,10118,1871,35930,2601,77913,5553,170.87466210000275,
20260420T103011Z__deepseek-chat__minimax-m2__kundur__s0,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b8_60ms,0.0,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A3,False,True,lucky-recovery,1.159,True,voltage,0.0011,0.0018094132310106925,0.9125004162162382,1.974728683307152,0.33828753258496747,7,6,11,31646,735,18814,3177,20227,2481,70687,6393,199.20204850001028,
20260420T103333Z__deepseek-chat__minimax-m2__kundur__s1,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b8_60ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0018094132310106925,0.9125004162162382,1.974728683307152,0.33828753258496747,7,5,6,30838,464,7788,1918,34830,2835,73456,5217,156.43521060000057,
20260420T103612Z__deepseek-chat__minimax-m2__kundur__s2,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b8_60ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,1.159,True,voltage,0.0011,0.0018094132310106925,0.9125004162162382,1.974728683307152,0.33828753258496747,7,5,7,30837,461,10718,2332,32393,1848,73948,4641,169.8255663000018,
20260420T103903Z__deepseek-chat__minimax-m2__kundur__s3,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b8_60ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,1.159,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,4,7,31182,512,31768,4232,35230,2505,98180,7249,212.86236400000053,
20260420T104238Z__deepseek-chat__minimax-m2__kundur__s4,deepseek-chat,minimax-m2,kundur,llm,piggyback,primary_kundur_bf_b8_60ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,A4,False,True,lucky-recovery,5.468,True,voltage,0.0011,0.0018094132288988263,0.9125004162288366,1.97472868255511,0.3382875321333607,7,4,9,31460,659,12537,3157,32543,2759,76540,6575,228.48106029999326,
