run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260420T123735Z__qwen3-plus__scripted-oracle__ieee39__s0,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,79996,542,0,0,0,0,79996,542,19.265145799989114,
20260420T123758Z__qwen3-plus__scripted-oracle__ieee39__s1,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,77503,605,0,0,0,0,77503,605,19.196543900005054,
20260420T123820Z__qwen3-plus__scripted-oracle__ieee39__s2,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,78885,615,0,0,0,0,78885,615,20.863437499996508,
20260420T123844Z__qwen3-plus__scripted-oracle__ieee39__s3,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,76639,569,0,0,0,0,76639,569,17.15822529999423,
20260420T123906Z__qwen3-plus__scripted-oracle__ieee39__s4,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,79561,846,0,0,0,0,79561,846,24.807923100001062,
20260420T123935Z__qwen3-plus__scripted-oracle__ieee39__s0,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,76358,477,0,0,0,0,76358,477,15.541190299991285,
20260420T123955Z__qwen3-plus__scripted-oracle__ieee39__s1,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,78883,851,0,0,0,0,78883,851,24.91156029999547,
20260420T124025Z__qwen3-plus__scripted-oracle__ieee39__s2,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,77624,710,0,0,0,0,77624,710,20.75289230000635,
20260420T124050Z__qwen3-plus__scripted-oracle__ieee39__s3,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.0,2.0,5.0,30.0,tds_nonconverge,None,,False,False,red-win,0.0,True,nonconverge,2.5333,0.0,1.0,0.0,0.0,7,0,0,77214,597,0,0,0,0,77214,597,17.46808669999882,nonconverge at t=2.533 during red_phase
20260420T124109Z__qwen3-plus__scripted-oracle__ieee39__s4,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,0,1,79525,572,0,0,0,0,79525,572,17.72438250000414,
20260420T124131Z__qwen3-plus__scripted-oracle__ieee39__s0,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,0,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,0,1,78041,489,0,0,0,0,78041,489,17.01787460000196,
20260420T124153Z__qwen3-plus__scripted-oracle__ieee39__s1,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,1,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,0,1,80717,708,0,0,0,0,80717,708,22.596271199989133,
20260420T124220Z__qwen3-plus__scripted-oracle__ieee39__s2,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,2,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,0,1,77860,804,0,0,0,0,77860,804,23.079858299999614,
20260420T124248Z__qwen3-plus__scripted-oracle__ieee39__s3,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,3,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,0,1,78788,798,0,0,0,0,78788,798,24.24924330000067,
20260420T124316Z__qwen3-plus__scripted-oracle__ieee39__s4,qwen3-plus,scripted-oracle,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,4,0.0,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,0,1,78883,686,0,0,0,0,78883,686,19.8144561000081,
