run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T085314Z__deepseek-chat__gpt-5.4__ieee39__s0,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,13130,512,23612,894,9190,665,45932,2071,56.38497069999721,
20260423T085415Z__deepseek-chat__gpt-5.4__ieee39__s1,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,5,8,13130,521,8926,1288,22562,1559,44618,3368,83.82430549999845,
20260423T085542Z__deepseek-chat__gpt-5.4__ieee39__s2,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,5,13130,490,22751,1589,9190,530,45071,2609,59.67726749999929,
20260423T085646Z__deepseek-chat__gpt-5.4__ieee39__s3,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,13130,523,4421,817,9193,651,26744,1991,54.36377100000027,
20260423T085743Z__deepseek-chat__gpt-5.4__ieee39__s4,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,13314,574,4421,644,9187,676,26922,1894,43.995971099997405,
20260423T085831Z__deepseek-chat__gpt-5.4__ieee39__s5,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,5,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,13130,540,4421,563,9190,621,26741,1724,42.66815310000311,
20260423T085918Z__deepseek-chat__gpt-5.4__ieee39__s6,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,6,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,5,13314,557,19740,1293,13193,738,46247,2588,60.078628500003106,
20260423T090020Z__deepseek-chat__gpt-5.4__ieee39__s7,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,7,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,13130,541,4421,639,9181,652,26732,1832,49.181577199997264,
20260423T090111Z__deepseek-chat__gpt-5.4__ieee39__s8,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,8,0.2,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,5,7,13113,466,7546,1320,13955,1465,34614,3251,73.72542450000037,
20260423T090227Z__deepseek-chat__gpt-5.4__ieee39__s9,deepseek-chat,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,9,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,13113,491,4421,722,9193,689,26727,1902,48.210590499995305,
