run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T092550Z__qwen3-plus__gpt-5.4__ieee39__s0,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,80048,537,13827,830,9199,688,103074,2055,71.76208940000288,
20260423T092705Z__qwen3-plus__gpt-5.4__ieee39__s1,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,77075,647,13827,1257,9928,754,100830,2658,82.28621620000558,
20260423T092831Z__qwen3-plus__gpt-5.4__ieee39__s2,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,7,4,8,76844,447,3663,773,41901,2212,122408,3432,95.91760229999636,
20260423T093010Z__qwen3-plus__gpt-5.4__ieee39__s3,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,83745,389,10442,863,9196,559,103383,1811,62.37274809999508,
20260423T093116Z__qwen3-plus__gpt-5.4__ieee39__s4,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,76721,508,19600,1226,13178,660,109499,2394,67.54517930000293,
20260423T093227Z__qwen3-plus__gpt-5.4__ieee39__s0,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,80399,558,10442,1141,9190,521,100031,2220,66.96923860000243,
20260423T093337Z__qwen3-plus__gpt-5.4__ieee39__s1,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,78377,451,4421,414,9187,677,91985,1542,59.75198279999313,
20260423T093440Z__qwen3-plus__gpt-5.4__ieee39__s2,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,4,78535,381,6486,940,7565,780,92586,2101,58.60219239999424,
20260423T093542Z__qwen3-plus__gpt-5.4__ieee39__s3,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,77404,648,4421,602,9181,678,91006,1928,61.31674419999763,
20260423T093647Z__qwen3-plus__gpt-5.4__ieee39__s4,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,80061,563,13827,984,9190,600,103078,2147,62.81474280000111,
20260423T093753Z__qwen3-plus__gpt-5.4__ieee39__s0,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,4,4,80021,541,4420,695,7524,748,91965,1984,56.300388000003295,
20260423T093853Z__qwen3-plus__gpt-5.4__ieee39__s1,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.6000000000000001,True,voltage,0.0011,2.1330441501987707e-07,1.0018566736884607,0.00019546246041668436,1.0460030480324987,7,5,7,79061,555,13060,1240,18105,2507,110226,4302,115.70834600000671,
20260423T094052Z__qwen3-plus__gpt-5.4__ieee39__s2,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,4,5,78839,648,4420,706,9179,695,92438,2049,58.383148699998856,
20260423T094154Z__qwen3-plus__gpt-5.4__ieee39__s3,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,5,5,76919,524,8426,1333,9179,593,94524,2450,67.69299519999913,
20260423T094305Z__qwen3-plus__gpt-5.4__ieee39__s4,qwen3-plus,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,4,0.2,2.0,5.0,30.0,tds_nonconverge,None,A2,False,False,red-win,0.0,True,nonconverge,10.0333,4.00621614207175e-05,1.0014043809151292,0.01025414940123115,1.0470259646476978,7,5,7,79253,596,13060,1297,13982,1801,106295,3694,96.80950379999558,nonconverge at t=10.033 during mit_phase
