run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T102030Z__gpt-5.4__deepseek-chat__ieee39__s0,gpt-5.4,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,9,3806,994,47947,868,70241,1105,121994,2967,57.018608099999256,
20260423T102131Z__gpt-5.4__deepseek-chat__ieee39__s1,gpt-5.4,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,6,6,9,12040,2239,49020,981,63908,1098,124968,4318,89.6353694999998,
20260423T102302Z__gpt-5.4__deepseek-chat__ieee39__s2,gpt-5.4,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687110639332e-07,1.0018567910099454,0.00015837038236887757,1.046001375321319,5,6,11,15079,3742,46943,803,73640,1118,135662,5663,122.45621960000426,
20260423T102507Z__gpt-5.4__deepseek-chat__ieee39__s3,gpt-5.4,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,2,6,9,3681,2391,46943,774,71587,985,122211,4150,82.98949830000493,
20260423T102633Z__gpt-5.4__deepseek-chat__ieee39__s4,gpt-5.4,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,6,6,9,12040,2608,46915,848,72331,1252,131286,4708,101.53544270000566,
20260423T102816Z__gpt-5.4__qwen3-plus__ieee39__s0,gpt-5.4,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,6,3,1286,251,21345,218,67352,1383,89983,1852,55.32967210000788,
20260423T102914Z__gpt-5.4__qwen3-plus__ieee39__s1,gpt-5.4,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.225,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,5,6,7,3865,1529,21345,218,118166,3036,143376,4783,120.66124999999738,
20260423T103117Z__gpt-5.4__qwen3-plus__ieee39__s2,gpt-5.4,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,9,6531,1797,34144,205,205437,1816,246112,3818,117.46491519999108,
20260423T103316Z__gpt-5.4__qwen3-plus__ieee39__s3,gpt-5.4,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,8,6531,2011,10953,224,164309,1115,181793,3350,93.02860520000104,
20260423T103452Z__gpt-5.4__qwen3-plus__ieee39__s4,gpt-5.4,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,8,6752,1976,21345,220,164539,1007,192636,3203,91.16413240000111,
