run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T114535Z__gpt-5.4__gpt-5.4__ieee39__s0,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,tds_nonconverge,A1,A2,False,False,red-win,0.0,True,nonconverge,10.0333,0.0004749986974170728,1.0011619218672625,0.46049179085457426,0.9169197295142875,7,5,6,6918,2113,13072,1139,13550,1553,33540,4805,106.99723099999392,nonconverge at t=10.033 during mit_phase
20260423T114725Z__gpt-5.4__gpt-5.4__ieee39__s1,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,6,5,5,9143,1918,10442,821,9199,696,28784,3435,106.6429758000013,
20260423T114914Z__gpt-5.4__gpt-5.4__ieee39__s2,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,1,5,5,1286,353,13827,1027,6910,739,22023,2119,52.41593909999938,
20260423T115009Z__gpt-5.4__gpt-5.4__ieee39__s3,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,5,4,5,11665,3962,4421,580,13211,691,29297,5233,117.06047050000052,
20260423T115208Z__gpt-5.4__gpt-5.4__ieee39__s4,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,5,5,5,11802,1985,14207,1196,9187,612,35196,3793,93.2310937000002,
20260423T115343Z__gpt-5.4__gpt-5.4__ieee39__s0,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687155048253e-07,1.0018567910099434,0.00015837038240817947,1.0460013753213224,1,5,7,1286,356,7546,1361,17819,1917,26651,3634,90.55784890000359,
20260423T115515Z__gpt-5.4__gpt-5.4__ieee39__s1,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,5,4,5,12015,3186,4421,596,9178,570,25614,4352,108.19830830000137,
20260423T115706Z__gpt-5.4__gpt-5.4__ieee39__s2,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,9124,2106,4421,896,9196,577,22741,3579,88.72843660000217,
20260423T115837Z__gpt-5.4__gpt-5.4__ieee39__s3,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098657911773785e-07,1.0018567910109912,0.00015837303971022454,1.0460013753166948,7,5,6,3865,886,10442,1182,13336,738,27643,2806,78.64379620000545,
20260423T115957Z__gpt-5.4__gpt-5.4__ieee39__s4,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,3806,896,4421,747,9193,562,17420,2205,56.089448699996865,
20260423T120056Z__gpt-5.4__gpt-5.4__ieee39__s0,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,2.1330496791094333e-07,1.0018566735579568,0.0001954607347827153,1.0460030477712239,7,4,5,9143,1840,4420,625,8423,694,21986,3159,78.88958579999598,
20260423T120216Z__gpt-5.4__gpt-5.4__ieee39__s1,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,7,4,5,6739,1603,4420,753,9179,721,20338,3077,75.26094569999987,
20260423T120334Z__gpt-5.4__gpt-5.4__ieee39__s2,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,5,4,5,6331,3089,4420,533,9185,536,19936,4158,102.74251389998972,
20260423T120519Z__gpt-5.4__gpt-5.4__ieee39__s3,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.1330475674652405e-07,1.0018566736883554,0.00019545926064878927,1.0460030480387656,1,6,5,1286,338,13936,1161,13208,736,28430,2235,62.41436569999496,
20260423T120623Z__gpt-5.4__gpt-5.4__ieee39__s4,gpt-5.4,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b29_100ms,0.0,4,0.2,2.0,5.0,30.0,tds_nonconverge,None,None,True,False,red-win,0.0,True,nonconverge,10.0333,4.00621614207175e-05,1.0014043809151292,0.01025414940123115,1.0470259646476978,1,5,6,1286,202,19582,1594,13399,1593,34267,3389,75.64690239999618,nonconverge at t=10.033 during mit_phase
