run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T125253Z__claude-opus-4-7__deepseek-chat__ieee39__s0,claude-opus-4-7,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,6,9,17503,863,48852,582,71573,749,137928,2194,50.64921070000128,nonconverge at t=6.933 during mit_phase
20260423T125348Z__claude-opus-4-7__deepseek-chat__ieee39__s1,claude-opus-4-7,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,tds_nonconverge,A1,A2,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,6,9,17484,836,48958,874,95848,1757,162290,3467,63.631291900004726,nonconverge at t=6.933 during mit_phase
20260423T125453Z__claude-opus-4-7__deepseek-chat__ieee39__s2,claude-opus-4-7,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,6.0333,0.0016916072055168652,0.9708669753863355,0.5839028062776876,2.5500475392749524,7,6,11,17505,807,48879,602,73578,880,139962,2289,54.12609539999539,nonconverge at t=6.033 during mit_phase
20260423T125550Z__claude-opus-4-7__qwen3-plus__ieee39__s0,claude-opus-4-7,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,9,17480,876,21419,217,298945,1195,337844,2288,86.75471300000208,
20260423T125718Z__claude-opus-4-7__qwen3-plus__ieee39__s1,claude-opus-4-7,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,tds_nonconverge,A1,None,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,6,8,17491,741,21451,215,164494,850,203436,1806,62.49548739999591,nonconverge at t=6.933 during mit_phase
20260423T125823Z__claude-opus-4-7__qwen3-plus__ieee39__s2,claude-opus-4-7,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,tds_nonconverge,A1,None,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,6,10,17503,831,21451,215,241292,1378,280246,2424,97.31895910000458,nonconverge at t=6.933 during mit_phase
20260423T130002Z__claude-opus-4-7__minimax-m2__ieee39__s0,claude-opus-4-7,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,17503,843,13245,695,44795,1284,75543,2822,93.71612749999622,
20260423T130139Z__claude-opus-4-7__minimax-m2__ieee39__s1,claude-opus-4-7,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,tds_nonconverge,A1,None,False,False,red-win,0.0,True,nonconverge,7.9333,0.0016458801729680728,0.9770096763216338,1.5121129963762865,3.149803717623807,7,5,5,17489,874,14025,1279,25859,1541,57373,3694,138.03401920000033,nonconverge at t=7.933 during mit_phase
20260423T130359Z__claude-opus-4-7__minimax-m2__ieee39__s2,claude-opus-4-7,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,tds_nonconverge,A1,None,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,4,6,17503,830,8683,652,25383,1744,51569,3226,107.94389200000296,nonconverge at t=6.933 during mit_phase
20260423T130549Z__claude-opus-4-7__deepseek-chat__ieee39__s0,claude-opus-4-7,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,6.9333,0.001970928932892857,0.9708669753863355,1.208057007048733,3.1637931876932313,7,6,9,17482,734,46829,495,95774,988,160085,2217,47.78880779999599,nonconverge at t=6.933 during mit_phase
