run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T133237Z__claude-sonnet-4-6__deepseek-chat__ieee39__s0,claude-sonnet-4-6,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,8,9797,775,47944,717,39857,944,97598,2436,54.247963400004664,
20260423T133336Z__claude-sonnet-4-6__deepseek-chat__ieee39__s1,claude-sonnet-4-6,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A2,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,9,9858,725,47950,937,39775,828,97583,2490,57.07075330000225,
20260423T133437Z__claude-sonnet-4-6__deepseek-chat__ieee39__s2,claude-sonnet-4-6,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,10.0333,5.031228195573334e-05,1.0012170844818056,0.02284133968224343,1.0205996363934415,7,6,10,9828,791,48902,589,96104,886,154834,2266,60.3792284999945,nonconverge at t=10.033 during mit_phase
20260423T133541Z__claude-sonnet-4-6__qwen3-plus__ieee39__s0,claude-sonnet-4-6,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A2,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,8,9841,664,21345,221,161608,933,192794,1818,66.44156429998839,
20260423T133651Z__claude-sonnet-4-6__qwen3-plus__ieee39__s1,claude-sonnet-4-6,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,8,9888,669,21419,216,164408,764,195715,1649,72.08569370000623,
20260423T133807Z__claude-sonnet-4-6__qwen3-plus__ieee39__s2,claude-sonnet-4-6,qwen3-plus,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,8,9856,681,10990,225,65626,1115,86472,2021,69.03887979999854,
20260423T133919Z__claude-sonnet-4-6__minimax-m2__ieee39__s0,claude-sonnet-4-6,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,4,7,9760,785,21415,740,43283,1899,74458,3424,148.8259362999961,
20260423T134153Z__claude-sonnet-4-6__minimax-m2__ieee39__s1,claude-sonnet-4-6,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,5,9839,678,14445,1242,22837,1320,47121,3240,124.83922660000826,
20260423T134359Z__claude-sonnet-4-6__minimax-m2__ieee39__s2,claude-sonnet-4-6,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,4,8,9799,546,5509,792,26840,1715,42148,3053,100.48608599998988,
20260423T134542Z__claude-sonnet-4-6__deepseek-chat__ieee39__s0,claude-sonnet-4-6,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,6,9,9853,631,47924,839,70127,993,127904,2463,52.38430750000407,
