run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T150312Z__claude-sonnet-4-6__gpt-5.4__ieee39__s0,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.598973777025783e-05,1.0018405653910651,0.051928139853377075,1.01765692865539,7,4,5,9841,635,4420,1292,9192,623,23453,2550,72.83452629999374,
20260423T150428Z__claude-sonnet-4-6__gpt-5.4__ieee39__s1,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,2.929476125879127e-05,1.0019166216503925,0.03305855504797306,1.0203038429223361,7,5,5,9826,792,19610,1498,7798,869,37234,3159,106.25513639999554,
20260423T150617Z__claude-sonnet-4-6__gpt-5.4__ieee39__s2,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0005022839661219525,1.000163957300831,0.567617261213309,0.919654033193118,7,5,7,10021,611,19603,1445,25955,1554,55579,3610,109.98516240000026,
20260423T150809Z__claude-sonnet-4-6__gpt-5.4__ieee39__s3,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,5,5,10314,703,13827,1336,13195,618,37336,2657,88.82015669999237,
20260423T150941Z__claude-sonnet-4-6__gpt-5.4__ieee39__s4,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,tds_nonconverge,A1,A2,False,False,red-win,0.0,True,nonconverge,10.0333,5.031228195573334e-05,1.0012170844818056,0.02284133968224343,1.0205996363934415,7,4,7,9862,777,3293,797,13992,1707,27147,3281,83.12562809999508,nonconverge at t=10.033 during mit_phase
20260423T151107Z__claude-sonnet-4-6__gpt-5.4__ieee39__s0,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,0.0005022839661368295,1.000163957300854,0.5675983589776568,0.9196540321878572,7,4,6,10076,671,4793,761,13506,1153,28375,2585,71.12915659999271,
20260423T151222Z__claude-sonnet-4-6__gpt-5.4__ieee39__s1,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0005022839661368295,1.000163957300854,0.5675983589776568,0.9196540321878572,7,4,7,10118,741,4041,703,20172,1509,34331,2953,106.14230680000765,
20260423T151411Z__claude-sonnet-4-6__gpt-5.4__ieee39__s2,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,0.0005022839661368295,1.000163957300854,0.5675983589776568,0.9196540321878572,7,5,6,10310,699,13832,1303,13574,990,37716,2992,90.8717367999925,
20260423T151544Z__claude-sonnet-4-6__gpt-5.4__ieee39__s3,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,A1,A2,False,True,lucky-recovery,0.0,True,voltage,0.0011,4.443593480751851e-05,1.00181047650087,0.050207281249507796,1.028794028113036,7,6,6,9876,740,12148,2249,13522,1220,35546,4209,102.74612130001333,
20260423T151729Z__claude-sonnet-4-6__gpt-5.4__ieee39__s4,claude-sonnet-4-6,gpt-5.4,ieee39,llm,piggyback,primary_ieee39_bf_b22_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,0.0,True,voltage,0.0011,2.929476125879127e-05,1.0019166216503925,0.03305855504797306,1.0203038429223361,7,5,6,9862,850,19610,1496,19824,1288,49296,3634,101.9722455999945,
