run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260423T173920Z__qwen3.6-local__deepseek-chat__ieee39__s0,qwen3.6-local,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687110639332e-07,1.0018567910099474,0.00015837038222898947,1.046001375321316,7,6,10,31720,1208,47952,942,56189,1141,135861,3291,94.17718520000108,
20260423T174100Z__qwen3.6-local__deepseek-chat__ieee39__s1,qwen3.6-local,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,7.9333,0.0016458801729680728,0.9770096763216338,1.5121129963762865,3.149803717623807,7,6,9,17107,972,48986,1046,98182,1197,164275,3215,82.97614710000016,nonconverge at t=7.933 during mit_phase
20260423T174225Z__qwen3.6-local__deepseek-chat__ieee39__s2,qwen3.6-local,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,tds_nonconverge,A1,A2,False,False,red-win,1.05,True,nonconverge,7.9333,0.0016458801729680728,0.9770096763216338,1.5121129963762865,3.149803717623807,7,6,11,20797,1642,47939,694,74545,1661,143281,3997,106.69115229999898,nonconverge at t=7.933 during mit_phase
20260423T174414Z__qwen3.6-local__deepseek-chat__ieee39__s3,qwen3.6-local,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,9,33569,989,46942,776,72117,1334,152628,3099,87.08053990000099,
20260423T174543Z__qwen3.6-local__deepseek-chat__ieee39__s4,qwen3.6-local,deepseek-chat,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,10,16587,669,48895,667,75657,1300,141139,2636,69.45112440000048,
20260423T174654Z__qwen3.6-local__qwen3.6-local__ieee39__s0,qwen3.6-local,qwen3.6-local,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,completed,A1,,False,True,lucky-recovery,0.0,True,voltage,0.0011,7.91350447930661e-05,1.0036369902716924,0.08927257246103948,1.0968008242507497,7,4,5,19793,1384,6817,2833,36615,2636,63225,6853,300.8534509000001,
20260423T175157Z__qwen3.6-local__qwen3.6-local__ieee39__s1,qwen3.6-local,qwen3.6-local,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,1,0.2,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,6,7,33569,818,39481,3699,97664,2392,170714,6909,361.64061669999955,
20260423T175800Z__qwen3.6-local__qwen3.6-local__ieee39__s2,qwen3.6-local,qwen3.6-local,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,2,0.2,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,5,6,5,17107,2260,22494,2705,36424,2139,76025,7104,323.4033763999996,
20260423T180326Z__qwen3.6-local__qwen3.6-local__ieee39__s3,qwen3.6-local,qwen3.6-local,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,3,0.2,2.0,5.0,30.0,completed,None,,False,True,lucky-recovery,0.0,True,voltage,0.0011,1.7098687132843793e-07,1.0018567910099883,0.00015837038292743078,1.046001375321772,7,4,5,48072,1238,11786,2444,36388,2197,96246,5879,277.6157228000011,
20260423T180806Z__qwen3.6-local__qwen3.6-local__ieee39__s4,qwen3.6-local,qwen3.6-local,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,4,0.2,2.0,5.0,30.0,tds_nonconverge,A1,,False,False,red-win,0.0,True,nonconverge,7.9333,0.0016458801729680728,0.9770096763216338,1.5121129963762865,3.149803717623807,7,6,6,21854,1972,23319,2735,55481,3022,100654,7729,345.9447205999986,nonconverge at t=7.933 during mit_phase
20260423T181354Z__qwen3.6-local__minimax-m2__ieee39__s0,qwen3.6-local,minimax-m2,ieee39,llm,piggyback,primary_ieee39_bf_b16_80ms,0.0,0,0.2,2.0,5.0,30.0,tds_nonconverge,A1,None,False,False,red-win,0.0,True,nonconverge,7.9333,0.0016458801729680728,0.9770096763216338,1.5121129963762865,3.149803717623807,7,4,5,17107,1193,21923,879,25787,1344,64817,3416,105.35910580000018,nonconverge at t=7.933 during mit_phase
